时间,实际功率(MW),预测功率_带NWP_XGB(MW),预测功率_无NWP_XGB(MW)
2019-05-29 18:00:00,0.0,0.25815606,0.17381811
2019-05-29 18:15:00,0.0,0.24767399,0.17381811
2019-05-29 18:30:00,0.0,0.2473731,0.17381811
2019-05-29 18:45:00,0.0,0.2473731,0.17381811
2019-05-29 19:00:00,0.0,0.2473731,0.17381811
2019-05-29 19:15:00,0.0,0.2473731,0.17381811
2019-05-29 19:30:00,0.0,0.2473731,0.17381811
2019-05-29 19:45:00,0.0,0.2473731,0.17381811
2019-05-29 20:00:00,0.0,0.24708581,0.17381811
2019-05-29 20:15:00,0.0,0.24683952,0.17381811
2019-05-29 20:30:00,0.0,0.24683952,0.17381811
2019-05-29 20:45:00,0.0,0.24695706,0.17381811
2019-05-29 21:00:00,0.0,0.27067327,0.17381811
2019-05-29 21:15:00,0.124318,0.41637397,0.36196804
2019-05-29 21:30:00,0.248636,0.63527465,0.51747227
2019-05-29 21:45:00,0.408474,0.8793764,0.75320673
